sentWcAvg,mostRepFreqSum,diffWc,subordFreq,coordFreq,detArtFreq,indetArtFreq
%!s(float64=0.04000000000000001),%!s(float64=0.2320534223706177),%!s(float64=0.48080133555926546),%!s(float64=0.05509181969949917),%!s(float64=0.005008347245409015),%!s(float64=0.12020033388981637),0.008347245409015025
%!s(float64=0.052631578947368425),%!s(float64=0.2270992366412214),%!s(float64=0.517175572519084),%!s(float64=0.05534351145038168),%!s(float64=0.003816793893129771),%!s(float64=0.09923664122137404),0.01717557251908397
%!s(float64=0.049999999999999996),%!s(float64=0.23619047619047617),%!s(float64=0.4895238095238095),%!s(float64=0.05714285714285714),%!s(float64=0.005714285714285714),%!s(float64=0.12380952380952381),0.009523809523809525
%!s(float64=0.03571428571428571),%!s(float64=0.23107569721115537),%!s(float64=0.4900398406374502),%!s(float64=0.0697211155378486),%!s(float64=0.0099601593625498),%!s(float64=0.09760956175298804),0.00398406374501992
%!s(float64=0.041666666666666664),%!s(float64=0.22586872586872586),%!s(float64=0.4864864864864865),%!s(float64=0.08108108108108109),%!s(float64=0.009652509652509652),%!s(float64=0.09652509652509653),0.003861003861003861
%!s(float64=0.03225806451612904),%!s(float64=0.21693121693121692),%!s(float64=0.5326278659611993),%!s(float64=0.047619047619047616),%!s(float64=0.001763668430335097),%!s(float64=0.08641975308641975),0.012345679012345678
%!s(float64=0.03225806451612903),%!s(float64=0.2328767123287671),%!s(float64=0.48140900195694714),%!s(float64=0.07240704500978473),%!s(float64=0),%!s(float64=0.09784735812133072),0.007827788649706457
%!s(float64=0.05263157894736841),%!s(float64=0.22027972027972026),%!s(float64=0.479020979020979),%!s(float64=0.057692307692307696),%!s(float64=0.0017482517482517483),%!s(float64=0.0979020979020979),0.015734265734265736
%!s(float64=0.04545454545454546),%!s(float64=0.24855491329479767),%!s(float64=0.48554913294797686),%!s(float64=0.03468208092485549),%!s(float64=0),%!s(float64=0.1252408477842004),0.017341040462427744
%!s(float64=0.0588235294117647),%!s(float64=0.21124031007751937),%!s(float64=0.501937984496124),%!s(float64=0.04263565891472868),%!s(float64=0),%!s(float64=0.1182170542635659),0.015503875968992248
%!s(float64=0.04),%!s(float64=0.19831223628691985),%!s(float64=0.5337552742616034),%!s(float64=0.06329113924050633),%!s(float64=0),%!s(float64=0.08860759493670886),0.012658227848101266
%!s(float64=0.07142857142857142),%!s(float64=0.21468926553672318),%!s(float64=0.4613935969868173),%!s(float64=0.047080979284369114),%!s(float64=0.003766478342749529),%!s(float64=0.096045197740113),0.011299435028248588
%!s(float64=0.03703703703703704),%!s(float64=0.17886178861788618),%!s(float64=0.4634146341463415),%!s(float64=0.026422764227642278),%!s(float64=0.01016260162601626),%!s(float64=0.08333333333333333),0.016260162601626018
%!s(float64=0.0909090909090909),%!s(float64=0.24347826086956523),%!s(float64=0.5521739130434783),%!s(float64=0.05434782608695652),%!s(float64=0.002173913043478261),%!s(float64=0.11956521739130435),0.03695652173913044
%!s(float64=0.06666666666666665),%!s(float64=0.24807692307692308),%!s(float64=0.5384615384615384),%!s(float64=0.03461538461538462),%!s(float64=0.0038461538461538464),%!s(float64=0.11538461538461539),0.013461538461538462
%!s(float64=0.06666666666666667),%!s(float64=0.23344370860927155),%!s(float64=0.5132450331125827),%!s(float64=0.028145695364238412),%!s(float64=0.006622516556291391),%!s(float64=0.11258278145695365),0.013245033112582781
%!s(float64=0.06666666666666668),%!s(float64=0.19662921348314605),%!s(float64=0.552434456928839),%!s(float64=0.04681647940074907),%!s(float64=0.003745318352059925),%!s(float64=0.07303370786516854),0.0449438202247191
%!s(float64=0.07692307692307693),%!s(float64=0.18622448979591838),%!s(float64=0.5076530612244898),%!s(float64=0.04081632653061224),%!s(float64=0.002551020408163265),%!s(float64=0.07908163265306123),0.02295918367346939
%!s(float64=0.04545454545454544),%!s(float64=0.23956043956043954),%!s(float64=0.5340659340659341),%!s(float64=0.04395604395604396),%!s(float64=0.004395604395604396),%!s(float64=0.13846153846153847),0.02197802197802198
%!s(float64=0.08333333333333333),%!s(float64=0.18041237113402062),%!s(float64=0.5412371134020618),%!s(float64=0.05670103092783505),%!s(float64=0.002577319587628866),%!s(float64=0.08247422680412371),0.02577319587628866
%!s(float64=0.0909090909090909),%!s(float64=0.18779342723004694),%!s(float64=0.5305164319248826),%!s(float64=0.04225352112676056),%!s(float64=0.014084507042253521),%!s(float64=0.09154929577464789),0.007042253521126761
%!s(float64=0.0833333333333333),%!s(float64=0.2052313883299799),%!s(float64=0.5694164989939637),%!s(float64=0.04627766599597585),%!s(float64=0.002012072434607646),%!s(float64=0.096579476861167),0.02012072434607646
