author,predCluster
Calderaro,0
Calderaro,1
Calderaro,1
Calderaro,3
Calderaro,0
Calderaro,3
Calderaro,3
Calderaro,4
Calderaro,0
Calderaro,4
Calderaro,3
Calderaro,2
Fonteveccia,3
Fonteveccia,2
Fonteveccia,4
Fonteveccia,2
Fonteveccia,4
Fonteveccia,4
Fonteveccia,0
Fonteveccia,4
Fonteveccia,2
Fonteveccia,2
Pagni,1
Pagni,3
Pagni,1
Pagni,1
Pagni,0
Pagni,4
Pagni,1
Pagni,1
Pagni,4
Pagni,3
VanderKooy,3
VanderKooy,3
VanderKooy,3
VanderKooy,3
VanderKooy,3
VanderKooy,3
VanderKooy,3
VanderKooy,3
VanderKooy,3
VanderKooy,3
Verbitsky,2
Verbitsky,1
Verbitsky,0
Verbitsky,4
Verbitsky,0
Verbitsky,0
Verbitsky,3
Verbitsky,4
Verbitsky,1
Verbitsky,0
