author,predCluster
Calderaro,2
Calderaro,0
Calderaro,2
Calderaro,2
Calderaro,2
Calderaro,3
Calderaro,0
Calderaro,0
Calderaro,0
Calderaro,0
Calderaro,4
Calderaro,2
Fonteveccia,2
Fonteveccia,0
Fonteveccia,0
Fonteveccia,2
Fonteveccia,4
Fonteveccia,4
Fonteveccia,1
Fonteveccia,4
Fonteveccia,2
Fonteveccia,4
Pagni,4
Pagni,1
Pagni,4
Pagni,4
Pagni,4
Pagni,4
Pagni,4
Pagni,4
Pagni,4
Pagni,0
VanderKooy,1
VanderKooy,1
VanderKooy,1
VanderKooy,1
VanderKooy,1
VanderKooy,1
VanderKooy,1
VanderKooy,1
VanderKooy,1
VanderKooy,1
Verbitsky,2
Verbitsky,2
Verbitsky,1
Verbitsky,0
Verbitsky,1
Verbitsky,0
Verbitsky,1
Verbitsky,4
Verbitsky,4
Verbitsky,4
