author,predCluster
Calderaro,102
Calderaro,209
Calderaro,179
Calderaro,129
Calderaro,156
Calderaro,50
Calderaro,206
Calderaro,28
Calderaro,79
Calderaro,42
Calderaro,50
Calderaro,1
Fonteveccia,107
Fonteveccia,465
Fonteveccia,467
Fonteveccia,519
Fonteveccia,414
Fonteveccia,326
Fonteveccia,230
Fonteveccia,353
Fonteveccia,30
Fonteveccia,276
Pagni,336
Pagni,150
Pagni,387
Pagni,285
Pagni,233
Pagni,283
Pagni,334
Pagni,385
Pagni,438
Pagni,52
VanderKooy,279
VanderKooy,152
VanderKooy,25
VanderKooy,100
VanderKooy,25
VanderKooy,201
VanderKooy,281
VanderKooy,25
VanderKooy,203
VanderKooy,252
Verbitsky,4
Verbitsky,57
Verbitsky,469
Verbitsky,517
Verbitsky,513
Verbitsky,486
Verbitsky,225
Verbitsky,363
Verbitsky,192
Verbitsky,303
